date,category,status,evidence_sites,eta_initial,eta_final,planned_start,planned_end,announced_window_hours,possible_episodes,notes
2024-11-10,emergency,observed,SITE_A,17:53,17:53,,,,1,Network emergency outage.
2024-11-11,network_switching,observed,SITE_A,19:42,19:42,,,,1,"SMS says outage due to network switching (gadartva), not avariuli gamortva."
2024-12-02,planned,not_cancelled,SITE_A,,,10:00,11:00,1,1,Announced urgent works window.
2024-12-13,emergency,observed,SITE_A,16:14,16:14,,,,1,Network emergency outage.
2024-12-31,emergency,observed,SITE_A,11:02,11:02,,,,1,Network emergency outage.
2025-01-17,emergency,observed,SITE_A,19:22,19:22,,,,1,Network emergency outage.
2025-01-19,emergency,observed,SITE_A,23:22,23:22,,,,1,Network emergency outage.
2025-02-07,emergency,observed,SITE_A,18:27,18:27,,,,1,Network emergency outage.
2025-02-20,planned,not_cancelled,SITE_A,,,11:00,14:00,3,1,Announced urgent works window.
2025-03-14,planned,not_cancelled,SITE_A,,,11:00,14:00,3,1,Announced urgent works window.
2025-04-22,emergency,observed,SITE_A,19:13,19:13,,,,1,Network emergency outage.
2025-06-28,emergency,observed_ambiguous,SITE_A,01:18,17:43,,,,1-2,Two same-day emergency SMS with very different ETAs. Without receive timestamps this may be one extended incident or two outages.
2025-07-08,emergency,observed,SITE_A,15:44,15:44,,,,1,Network emergency outage.
2025-07-28,emergency,observed,SITE_A,00:16,00:16,,,,1,Network emergency outage.
2025-10-09,planned,cancelled,SITE_A,,,10:00,18:00,8,0,Cancellation/postponement SMS says electricity will not be interrupted.
2025-10-13,planned,not_cancelled,SITE_A,,,11:00,15:00,4,1,Announced urgent works window.
2025-10-15,planned,not_cancelled,SITE_A,,,11:00,17:00,6,1,Announced urgent works window.
2025-11-02,planned,not_cancelled_extended,SITE_A,,,11:00,16:00,5,1,Initial window 11:00–14:00; completion ETA later extended to 16:00.
2025-11-05,emergency,observed,SITE_A,14:22,14:22,,,,1,Network emergency outage.
2025-11-12,planned,not_cancelled,SITE_A;SITE_B,,,11:00,18:00,7,1,Same announced window at both sites.
2025-11-28,planned,cancelled,SITE_A;SITE_B,,,11:00,18:00,7,0,Planned at both sites; SITE_B received explicit cancellation.
2025-12-01,planned,not_cancelled,SITE_A;SITE_B,,,11:00,16:00,5,1,Same announced window at both sites.
2025-12-06,emergency,observed,SITE_A;SITE_B,17:11,17:11,,,,1,Same ETA at both sites.
2026-01-12,emergency,observed,SITE_A;SITE_B,18:43,18:43,,,,1,Same ETA at both sites.
2026-01-13,emergency,observed,SITE_A;SITE_B,16:50,16:50,,,,1,Same ETA at both sites.
2026-01-22,emergency,observed_updated,SITE_A;SITE_B,12:00,20:00,,,,1,ETA revised from 12:00 to 20:00; later SMS cites high-voltage cable damage.
2026-03-12,planned,not_cancelled,SITE_A;SITE_B,,,11:00,18:00,7,1,Same announced window at both sites.
2026-03-14,emergency,observed,SITE_A;SITE_B,00:22,00:22,,,,1,Same ETA at both sites.
2026-04-07,emergency,observed_updated,SITE_A;SITE_B,19:33,22:29,,,,1,ETA appears revised from 19:33 to 22:29. SITE_A also contains an exact duplicate 22:29 SMS.
2026-05-13,emergency,observed,SITE_A;SITE_B,13:39,13:39,,,,1,Same ETA at both sites.
2026-07-14,emergency,observed,SITE_A;SITE_B,15:19,15:19,,,,1,Same ETA at both sites.
2026-08-04,emergency,observed_site_b_only,SITE_B,14:32,14:32,,,,1,Present in SITE_B record; no matching SITE_A SMS in supplied archive.
2026-08-05,emergency,observed,SITE_A;SITE_B,12:54,12:54,,,,1,Same ETA at both sites.
2026-08-06,emergency,observed,SITE_A;SITE_B,17:40,17:40,,,,1,Same ETA at both sites.
